Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,AvgH,AvgD,AvgA,PSH,PSD,PSA
E0,13/08/2021,20:00,Brentford,Arsenal,2,0,H,8,22,3,4,4,3.4,1.95,4.02,3.43,2.02,4.05,3.46,2.05
E0,14/08/2021,12:30,Man United,Leeds,5,1,H,16,10,8,3,1.53,4.5,5.75,1.55,4.48,5.87,1.56,4.57,5.96
E0,14/08/2021,15:00,Burnley,Brighton,1,2,A,14,14,3,8,3.1,3.1,2.45,3.19,3.09,2.49,3.3,3.12,2.51
E0,14/08/2021,15:00,Chelsea,Crystal Palace,3,0,H,13,4,6,1,1.25,5.75,13,1.26,5.92,12.8,1.26,6.24,12.74
E0,14/08/2021,15:00,Everton,Southampton,3,1,H,14,6,6,3,1.9,3.5,4,1.97,3.53,4.04,2.01,3.56,4.1
E0,14/08/2021,15:00,Leicester,Wolves,1,0,H,9,17,5,3,1.66,3.8,5.25,1.71,3.75,5.32,1.73,3.79,5.47
E0,14/08/2021,15:00,Watford,Aston Villa,3,2,H,13,11,7,2,3.1,3.2,2.37,3.14,3.26,2.41,3.18,3.31,2.47
E0,14/08/2021,17:30,Norwich,Liverpool,0,3,A,14,19,3,8,9,5.75,1.3,8.78,5.71,1.33,8.35,5.86,1.36
E0,15/08/2021,14:00,Newcastle,West Ham,2,4,A,17,8,3,9,3.2,3.5,2.2,3.2,3.51,2.26,3.21,3.59,2.32
E0,15/08/2021,16:30,Tottenham,Man City,1,0,H,13,18,3,4,5.5,4.2,1.6,5.49,4.1,1.64,5.56,4.09,1.67
E0,21/08/2021,12:30,Liverpool,Burnley,2,0,H,27,9,9,3,1.18,7.5,13,1.21,6.97,14.41,1.21,6.98,15.68
E0,21/08/2021,15:00,Aston Villa,Newcastle,2,0,H,10,9,2,1,1.8,3.75,4.33,1.82,3.92,4.25,1.83,3.99,4.4
E0,21/08/2021,15:00,Crystal Palace,Brentford,0,0,D,7,14,2,3,2.55,3.2,2.87,2.61,3.18,2.9,2.65,3.28,2.95
E0,21/08/2021,15:00,Leeds,Everton,2,2,D,17,17,4,8,2.37,3.4,3,2.37,3.47,3.03,2.39,3.51,3.14
E0,21/08/2021,15:00,Man City,Norwich,5,0,H,16,1,4,0,1.08,11,26,1.11,10.58,25.64,1.11,11.28,26.2
E0,21/08/2021,17:30,Brighton,Watford,2,0,H,13,10,3,1,1.7,3.5,5.75,1.74,3.52,5.53,1.75,3.55,5.8
E0,22/08/2021,14:00,Southampton,Man United,1,1,D,8,15,3,4,5.5,4.2,1.57,5.36,4.26,1.61,5.32,4.41,1.64
E0,22/08/2021,14:00,Wolves,Tottenham,0,1,A,25,8,6,6,3.2,3.2,2.35,3.2,3.15,2.43,3.25,3.15,2.52
E0,22/08/2021,16:30,Arsenal,Chelsea,0,2,A,6,22,3,5,4.75,3.75,1.72,4.76,3.74,1.78,4.9,3.83,1.79
E0,23/08/2021,20:00,West Ham,Leicester,4,1,H,13,5,7,1,2.5,3.5,2.75,2.58,3.44,2.75,2.61,3.51,2.82
E0,28/08/2021,12:30,Man City,Arsenal,5,0,H,25,1,10,0,1.25,6,12,1.26,6.16,11.99,1.26,6.28,12.59
E0,28/08/2021,15:00,Aston Villa,Brentford,1,1,D,7,9,5,2,1.95,3.6,3.8,2,3.57,3.84,2.02,3.63,3.95
E0,28/08/2021,15:00,Brighton,Everton,0,2,A,14,14,3,5,2.3,3.2,3.3,2.35,3.25,3.27,2.37,3.29,3.37
E0,28/08/2021,15:00,Newcastle,Southampton,2,2,D,10,22,5,6,2.5,3.4,2.8,2.52,3.47,2.82,2.55,3.52,2.9
E0,28/08/2021,15:00,Norwich,Leicester,1,2,A,14,9,4,3,4.5,3.5,1.85,4.34,3.55,1.9,4.47,3.54,1.93
E0,28/08/2021,15:00,West Ham,Crystal Palace,2,2,D,14,9,4,2,1.55,4,6.5,1.58,4.02,6.29,1.59,4.07,6.64
E0,28/08/2021,17:30,Liverpool,Chelsea,1,1,D,24,6,7,3,2.45,3.3,2.9,2.5,3.33,2.95,2.52,3.36,3.06
E0,29/08/2021,14:00,Burnley,Leeds,1,1,D,12,12,3,2,3.1,3.5,2.25,3.07,3.51,2.33,3.15,3.58,2.35
E0,29/08/2021,14:00,Tottenham,Watford,1,0,H,15,9,8,2,1.36,4.75,9,1.44,4.48,8.42,1.45,4.42,9.04
E0,29/08/2021,16:30,Wolves,Man United,0,1,A,15,10,6,3,5,3.5,1.75,4.91,3.48,1.82,5.14,3.51,1.83
E0,11/09/2021,12:30,Crystal Palace,Tottenham,3,0,H,18,2,4,1,4.2,3.5,1.9,4.25,3.44,1.95,4.42,3.47,1.96
E0,11/09/2021,15:00,Arsenal,Norwich,1,0,H,30,10,7,1,1.5,4.6,6,1.52,4.48,6.4,1.53,4.57,6.5
E0,11/09/2021,15:00,Brentford,Brighton,0,1,A,7,4,1,2,2.8,3.2,2.62,2.86,3.14,2.69,2.93,3.19,2.72
E0,11/09/2021,15:00,Leicester,Man City,0,1,A,6,25,1,8,6,4,1.57,5.7,4.22,1.6,5.87,4.26,1.61
