Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HS,AS,HST,AST,B365H,B365D,B365A,AvgH,AvgD,AvgA,PSH,PSD,PSA
E0,05/08/2022,20:00,Crystal Palace,Arsenal,0,2,A,10,10,2,2,4.2,3.6,1.85,4.39,3.59,1.88,4.5,3.65,1.89
E0,06/08/2022,12:30,Fulham,Liverpool,2,2,D,9,11,3,4,11,6,1.25,10.99,6.05,1.28,11.2,6.22,1.28
E0,06/08/2022,15:00,Bournemouth,Aston Villa,2,0,H,7,15,3,2,3.75,3.5,2,3.8,3.5,2.04,3.93,3.58,2.04
E0,06/08/2022,15:00,Leeds,Wolves,2,1,H,12,15,4,6,2.25,3.4,3.2,2.34,3.34,3.18,2.39,3.33,3.3
E0,06/08/2022,15:00,Newcastle,Nott'm Forest,2,0,H,23,5,10,0,1.66,3.8,5.25,1.67,3.8,5.57,1.71,3.74,5.83
E0,06/08/2022,15:00,Tottenham,Southampton,4,1,H,18,10,8,2,1.33,5.5,8.5,1.36,5.27,8.64,1.37,5.39,9.11
E0,06/08/2022,17:30,Everton,Chelsea,0,1,A,8,15,4,6,5.5,4,1.61,5.74,3.96,1.63,6.04,4.06,1.63
E0,07/08/2022,14:00,Leicester,Brentford,2,2,D,14,8,5,3,2,3.75,3.5,2.03,3.66,3.64,2.07,3.69,3.74
E0,07/08/2022,14:00,Man United,Brighton,1,2,A,17,15,5,4,1.6,4.2,5.25,1.62,4.01,5.68,1.65,4.14,5.68
E0,07/08/2022,16:30,West Ham,Man City,0,2,A,6,14,1,2,8,5,1.36,8.32,5.25,1.37,8.58,5.48,1.38
E0,13/08/2022,12:30,Aston Villa,Everton,2,1,H,12,15,4,4,1.8,3.5,4.75,1.82,3.56,4.87,1.83,3.55,5.12
E0,13/08/2022,15:00,Arsenal,Leicester,4,2,H,19,6,7,2,1.53,4.33,5.75,1.55,4.37,6.04,1.58,4.34,6.22
E0,13/08/2022,15:00,Brighton,Newcastle,0,0,D,13,4,7,1,2.45,3.2,3,2.44,3.25,3.1,2.48,3.24,3.22
E0,13/08/2022,15:00,Man City,Bournemouth,4,0,H,19,3,7,1,1.06,13,29,1.07,12.72,37.57,1.07,13.82,41
E0,13/08/2022,15:00,Southampton,Leeds,2,2,D,14,13,4,5,2.25,3.5,3.1,2.32,3.51,3.1,2.34,3.55,3.18
E0,13/08/2022,15:00,Wolves,Fulham,0,0,D,7,9,1,3,2.3,3.3,3.2,2.4,3.28,3.15,2.44,3.24,3.29
E0,13/08/2022,17:30,Brentford,Man United,4,0,H,13,15,7,4,3.75,3.5,2,3.77,3.56,2.02,3.82,3.64,2.06
E0,14/08/2022,14:00,Nott'm Forest,West Ham,1,0,H,13,19,6,5,4.2,3.6,1.85,4.21,3.64,1.9,4.28,3.72,1.92
E0,14/08/2022,16:30,Chelsea,Tottenham,2,2,D,16,10,3,5,2.25,3.4,3.2,2.29,3.44,3.21,2.28,3.52,3.35
E0,15/08/2022,20:00,Liverpool,Crystal Palace,1,1,D,24,7,4,3,1.18,6.75,16,1.2,6.85,16.33,1.2,7.09,18.57
E0,20/08/2022,12:30,Tottenham,Wolves,1,0,H,11,20,4,3,1.4,4.75,7.5,1.41,4.88,7.96,1.43,4.94,7.95
E0,20/08/2022,15:00,Crystal Palace,Aston Villa,3,1,H,17,13,9,5,2.5,3.25,2.9,2.52,3.2,3,2.58,3.19,3.12
E0,20/08/2022,15:00,Everton,Nott'm Forest,1,1,D,19,14,8,5,1.9,3.6,4,1.97,3.48,4.05,2,3.45,4.27
E0,20/08/2022,15:00,Fulham,Brentford,3,2,H,18,13,9,5,2.45,3.4,2.9,2.46,3.42,2.92,2.52,3.53,2.93
E0,20/08/2022,15:00,Leicester,Southampton,1,2,A,6,9,1,3,1.83,4,4,1.85,3.97,4.01,1.86,4.09,4.12
E0,20/08/2022,17:30,Bournemouth,Arsenal,0,3,A,6,14,1,6,8,4.75,1.4,7.65,4.7,1.43,7.55,4.8,1.46
E0,21/08/2022,14:00,Leeds,Chelsea,3,0,H,12,14,6,3,5.75,4.5,1.53,5.93,4.43,1.55,6.23,4.6,1.54
E0,21/08/2022,14:00,West Ham,Brighton,0,2,A,13,11,3,2,2.3,3.4,3.1,2.32,3.41,3.14,2.34,3.52,3.22
E0,21/08/2022,16:30,Newcastle,Man City,3,3,D,12,21,6,10,7.5,5,1.36,8.67,5.11,1.37,9.43,5.22,1.37
E0,22/08/2022,20:00,Man United,Liverpool,2,1,H,12,17,4,5,5.25,4.33,1.6,5.22,4.38,1.6,5.39,4.35,1.64
E0,27/08/2022,12:30,Southampton,Man United,0,1,A,17,11,5,6,4.2,4,1.8,4.27,4.06,1.8,4.31,4,1.85
E0,27/08/2022,15:00,Brentford,Everton,1,1,D,19,14,5,7,2,3.5,3.75,2.06,3.47,3.77,2.1,3.49,3.84
E0,27/08/2022,15:00,Brighton,Leeds,1,0,H,13,10,4,2,1.9,3.8,3.8,1.91,3.73,4.04,1.93,3.72,4.24
E0,27/08/2022,15:00,Chelsea,Leicester,2,1,H,7,17,3,5,1.4,5,7,1.42,4.93,7.52,1.45,4.86,7.66
E0,27/08/2022,15:00,Liverpool,Bournemouth,9,0,H,19,5,12,2,1.1,10,26,1.11,10.17,25.51,1.13,10.48,23.11
E0,27/08/2022,15:00,Man City,Crystal Palace,4,2,H,18,2,5,2,1.18,7.5,13,1.19,7.56,15.25,1.2,7.5,16.26
E0,27/08/2022,17:30,Arsenal,Fulham,2,1,H,22,11,8,3,1.3,5.75,9,1.32,5.77,9.44,1.33,5.83,9.75
E0,28/08/2022,14:00,Aston Villa,West Ham,0,1,A,9,7,3,2,2.3,3.4,3.1,2.3,3.43,3.18,2.41,3.41,3.18
E0,28/08/2022,14:00,Wolves,Newcastle,1,1,D,10,21,4,6,2.7,3.3,2.7,2.75,3.26,2.7,2.76,3.32,2.79
E0,28/08/2022,16:30,Nott'm Forest,Tottenham,0,2,A,17,18,1,7,7,4.6,1.44,6.98,4.59,1.47,7.15,4.63,1.49
E0,30/08/2022,19:30,Crystal Palace,Brentford,1,1,D,13,9,4,3,2.05,3.4,3.6,2.1,3.42,3.72,2.11,3.47,3.83
E0,30/08/2022,19:30,Fulham,Brighton,2,1,H,10,7,3,4,3.1,3.3,2.3,3.21,3.35,2.33,3.26,3.44,2.36
E0,30/08/2022,19:45,Southampton,Chelsea,2,1,H,9,10,7,4,5.25,4,1.61,5.22,4.16,1.65,5.28,4.24,1.67
E0,30/08/2022,20:00,Leeds,Everton,1,1,D,14,7,5,2,2.15,3.5,3.3,2.14,3.57,3.46,2.16,3.61,3.53
E0,31/08/2022,19:30,Arsenal,Aston Villa,2,1,H,22,4,9,3,1.45,4.5,6,1.47,4.63,7,1.5,4.67,6.97
E0,31/08/2022,19:30,Bournemouth,Wolves,0,0,D,5,17,2,4,3.5,3.3,2.15,3.53,3.38,2.16,3.52,3.43,2.24
