scope,model,sample_size,accuracy,log_loss,brier_score,ranked_probability_score
all,v1,810,0.5024691358024691,1.02316551679427,0.20435151469852678,0.20883928234277496
all,v2,810,0.49753086419753084,1.0081629701820434,0.20135686174835676,0.20557157829069472
all,bookmaker,810,0.5098765432098765,0.998212846019192,0.199169228808194,0.2017927954203901
2425,v1,380,0.5078947368421053,1.004443253312417,0.19974959364675596,0.20665023564720514
2425,v2,380,0.5157894736842106,0.9886928558720792,0.19673124209142404,0.20312507801039212
2425,bookmaker,380,0.5394736842105263,0.9707576734366724,0.19288793421961034,0.19723507363339546
2526,v1,380,0.5,1.0407208709808038,0.20852866651247978,0.21208411310842884
2526,v2,380,0.4842105263157895,1.0263896510293953,0.2057021621174431,0.20917502334895588
2526,bookmaker,380,0.48947368421052634,1.018547433594443,0.20383740257377933,0.20574653794193817
2627,v1,50,0.48,1.0320340274386717,0.20757976090594327,0.20081532341013852
2627,v2,50,0.46,1.0176130644978953,0.20348728833599034,0.19677879797821057
2627,bookmaker,50,0.44,1.0523292920743959,0.21142894706298068,0.20638303783778167
